DEPTH,FEATURE0,FEATURE1
131.67086633994327,727,1230
131.68194475001334,730,1201
131.69302316008338,713,1235
131.70410157015343,726,1247
131.7151799802235,713,1232
131.72625839029354,713,1248
131.7373368003636,652,1263
131.74841521043365,738,1277
131.7594936205037,712,1278
131.77057203057376,652,1264
131.7816504406438,704,1284
131.79272885071384,681,1231
131.8038072607839,667,1261
131.81488567085395,675,1293
131.825964080924,635,1264
131.83704249099407,635,1291
131.8481209010641,714,1294
131.85919931113415,713,1324
131.87027772120422,674,1295
131.88135613127426,714,1353
131.8924345413443,705,1264
131.90351295141437,251,1310
131.9145913614844,251,1312
131.92566977155445,568,1286
131.93674818162452,439,1370
131.94782659169456,315,1314
131.95890500176463,697,1280
131.96998341183468,604,1247
131.98106182190472,697,1200
131.9921402319748,635,1161
132.00321864204483,596,1258
132.01429705211487,596,1247
132.02537546218494,596,1262
132.03645387225498,572,1261
132.04753228232502,698,1269
132.0586106923951,651,1276
132.06968910246513,682,1263
132.0807675125352,257,1264
132.09184592260524,315,1264
132.1029243326753,526,1264
132.11400274274536,399,1254
132.1250811528154,667,1154
132.13615956288544,705,1185
132.1472379729555,713,1261
132.15831638302555,712,1262
132.1693947930956,697,1299
132.18047320316566,556,1247
132.1915516132357,682,1262
132.20263002330574,682,1246
132.2137084333758,714,1208
132.22478684344586,672,1261
132.2358652535159,558,1261
132.24694366358597,541,1279
132.258022073656,712,1271
132.26910048372608,463,1301
132.28017889379612,713,1301
132.29125730386616,712,1286
132.30233571393623,651,1254
132.31341412400627,723,1253
132.3244925340763,714,1271
132.33557094414638,706,1273
132.34664935421642,709,1273
132.35772776428647,701,1247
132.36880617435654,690,1201
132.37988458442658,695,1247
132.39096299449665,666,1247
132.4020414045667,670,1123
132.41311981463673,667,1138
132.4241982247068,666,1137
132.43527663477684,658,1106
132.44635504484688,645,1255
132.45743345491695,635,1106
132.468511864987,640,1252
132.47959027505703,642,1224
132.4906686851271,638,1246
132.50174709519715,629,1224
132.5128255052672,624,1237
132.52390391533726,609,1249
132.5349823254073,616,1233
132.54606073547734,610,1232
132.5571391455474,604,1229
132.56821755561745,600,1228
132.5792959656875,600,1145
132.59037437575756,595,1107
132.6014527858276,586,1200
132.61253119589765,366,1153
132.62360960596772,582,1225
132.63468801603776,556,1161
132.64576642610783,580,1179
132.65684483617787,578,1153
132.6679232462479,577,1220
132.67900165631798,578,1184
132.69008006638802,573,1184
132.7011584764581,573,1228
132.71223688652813,557,1230
132.72331529659817,574,1193
132.73439370666824,548,1231
132.74547211673828,564,1237
132.75655052680833,486,1240
132.7676289368784,218,1250
132.77870734694844,221,1137
132.78978575701848,573,1257
132.80086416708855,349,1261
